split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery
heldout,env000090,2,32,1,5.925668239593506,2.1969311237335205,-1,-1,True,4.622401714324951,-1,0.3495195508003235
heldout,env000090,2,32,2,5.3090739250183105,2.174522638320923,-1,-1,True,4.0840582847595215,-1,0.3908105194568634
heldout,env000090,2,32,3,5.104772567749023,2.2058701515197754,-1,-1,True,4.576960563659668,-1,0.18207305669784546
heldout,env000088,1,33,0,4.8013596534729,1.2378116846084595,-1,-1,True,4.795041561126709,-1,0.001772977993823588
heldout,env000088,1,33,1,9.255301475524902,1.1364332437515259,1,1,True,4.223063945770264,1,0.6198201179504395
heldout,env000088,1,33,2,6.863266468048096,1.0839651823043823,1,1,True,4.225858211517334,1,0.45635417103767395
heldout,env000088,1,33,3,4.648861885070801,1.7226459980010986,-1,-1,True,4.982108116149902,1,-0.11388299614191055
heldout,env000069,2,34,0,5.747584342956543,0.6782270669937134,-1,-1,True,3.089956521987915,-1,0.5242533683776855
heldout,env000069,2,34,1,6.086954116821289,0.7408707737922668,-1,-1,True,5.70161771774292,-1,0.07207826524972916
heldout,env000069,2,34,2,5.33612585067749,0.4990127682685852,-1,-1,True,4.972982406616211,-1,0.07507441937923431
heldout,env000069,2,34,3,5.463579177856445,0.8907642364501953,-1,-1,True,6.71628999710083,-1,-0.27394741773605347
heldout,env000091,3,35,0,2.8232004642486572,0.29744672775268555,1,1,True,4.222113609313965,1,-0.5538596510887146
heldout,env000091,3,35,1,2.9470374584198,0.28992265462875366,1,0,True,4.099249362945557,1,-0.4336327314376831
heldout,env000091,3,35,2,2.9244024753570557,0.281167596578598,1,0,True,3.8806071281433105,1,-0.36175546050071716
heldout,env000091,3,35,3,2.8386058807373047,0.3029699921607971,1,1,True,4.092857837677002,1,-0.49464985728263855
heldout,env000046,4,36,0,3.305405855178833,0.5725955367088318,-1,-1,True,3.092101573944092,-1,0.07805308699607849
heldout,env000046,4,36,1,2.7972733974456787,0.6047365665435791,-1,-1,True,3.0200445652008057,-1,-0.10160429775714874
heldout,env000046,4,36,2,2.8047752380371094,0.26192209124565125,-1,-1,True,3.7589733600616455,-1,-0.375247061252594
heldout,env000046,4,36,3,3.1999547481536865,0.5808858871459961,-1,-1,True,3.8113319873809814,-1,-0.2334330528974533
heldout,env000072,0,37,0,5.572100639343262,1.8532720804214478,-1,-1,True,4.439226150512695,1,0.3046320676803589
heldout,env000072,0,37,1,5.051319122314453,1.8346160650253296,-1,-1,True,5.539200782775879,-1,-0.15167135000228882
heldout,env000072,0,37,2,5.3877272605896,1.2195460796356201,-1,-1,True,4.406841278076172,1,0.2353270798921585
heldout,env000072,0,37,3,4.02705192565918,0.5529142022132874,-1,-1,True,3.8936381340026855,1,0.03840198740363121
heldout,env000087,3,38,0,8.726398468017578,4.023745059967041,1,0,True,7.937175750732422,1,0.16782498359680176
heldout,env000087,3,38,1,9.539375305175781,2.747893810272217,1,1,True,10.577286720275879,1,-0.1528254747390747
heldout,env000087,3,38,2,9.782075881958008,3.375591993331909,1,1,True,9.921658515930176,1,-0.02178771421313286
heldout,env000087,3,38,3,8.634204864501953,4.082177639007568,-1,-1,True,8.819863319396973,-1,-0.040785882622003555
heldout,env000092,2,39,0,7.080886363983154,1.822756052017212,1,1,True,8.793588638305664,1,-0.32572460174560547
heldout,env000092,2,39,1,6.7044758796691895,2.784911632537842,1,0,True,6.745288848876953,1,-0.010412628762423992
heldout,env000092,2,39,2,7.499910831451416,2.140941858291626,0,-1,True,6.843631744384766,1,0.12246368825435638
heldout,env000092,2,39,3,7.0799784660339355,2.122662305831909,1,1,True,8.62435245513916,1,-0.3115342855453491
