variant,environment,path_num,condition_id,source_id,teacher_condition_safe,teacher_candidate_safe,student_candidate_safe,recovery,relative_teacher_error,max_control_point_deviation_m,mode_keep_vs_stage1,mode_match_teacher,teacher_cost,student_cost,teacher_min_esdf,student_min_esdf,newly_unsafe_point_count,newly_unsafe_point_indices,student_max_violation_m
D_induced_coupling,env000046,4,66,1,False,False,False,-0.07788854837417603,1.0298540592193604,1.0593503713607788,True,True,0.6047365665435791,2.9680469036102295,-0.3890568017959595,-0.5977392792701721,10,17 18 21 22 23 24 25 26 27 28,0.5977392792701721
D_induced_coupling,env000046,4,66,2,False,False,False,0.2150786817073822,1.0316545963287354,1.028685450553894,True,True,0.26192209124565125,2.257861375808716,-0.002537532476708293,-0.28782573342323303,11,4 5 6 7 8 9 10 11 21 30 31,0.28782573342323303
D_induced_coupling,env000046,4,66,3,False,False,False,0.1620883345603943,1.0049773454666138,1.411705493927002,True,True,0.5808855891227722,2.7754364013671875,-0.4024356007575989,-0.4678390920162201,9,21 22 23 24 25 26 27 28 29,0.4678390920162201
D_induced_coupling,env000072,0,67,0,False,False,False,-0.011802488937973976,1.1900699138641357,2.4186296463012695,False,False,1.8532719612121582,5.615991592407227,-0.7677779793739319,-0.6628859639167786,15,23 24 25 26 27 28 45 50 51 52 53 54 55 56 57,0.6628859639167786
D_induced_coupling,env000072,0,67,1,False,False,False,0.034730516374111176,0.992275595664978,1.8466320037841797,True,True,1.8346163034439087,4.939599990844727,-0.6572595238685608,-0.8809863328933716,17,35 36 37 38 39 40 41 42 43 44 45 50 51 52 53 54 55,0.8809863328933716
D_induced_coupling,env000072,0,67,2,False,False,False,0.4100050926208496,1.0262786149978638,1.8316341638565063,True,True,1.2195463180541992,3.6787493228912354,-0.8607984781265259,-0.8631059527397156,12,35 36 37 39 52 53 54 55 56 57 58 59,0.8631059527397156
D_induced_coupling,env000072,0,67,3,False,False,False,0.032980360090732574,1.0100022554397583,1.1718556880950928,True,True,0.5529154539108276,3.912473201751709,-0.3535214364528656,-0.5703238844871521,14,40 43 44 45 46 47 48 49 50 51 52 53 54 55,0.5703238844871521
D_induced_coupling,env000087,3,68,0,False,False,False,0.041402798146009445,1.0036429166793823,1.4449063539505005,True,False,4.023743629455566,8.531696319580078,-1.009790301322937,-1.444415807723999,18,54 55 56 61 62 63 64 65 66 67 68 69 70 71 72 73 83 84,1.444415807723999
D_induced_coupling,env000087,3,68,1,False,False,False,0.052061766386032104,1.0419470071792603,1.8896472454071045,False,False,2.7478976249694824,9.185805320739746,-0.7639866471290588,-1.5965464115142822,34,54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96,1.5965464115142822
D_induced_coupling,env000087,3,68,2,False,False,False,0.13160231709480286,1.0488618612289429,1.6601399183273315,True,True,3.375593900680542,8.938963890075684,-0.7884061336517334,-1.5206040143966675,16,55 62 63 68 80 81 83 84 85 86 87 88 89 90 94 95,1.5206040143966675
D_induced_coupling,env000087,3,68,3,False,False,False,0.05688043683767319,0.9872880578041077,1.4574096202850342,True,True,4.082173824310303,8.375285148620605,-1.0409530401229858,-1.426188349723816,16,51 58 59 60 61 62 63 64 65 68 69 70 71 72 83 84,1.426188349723816
D_induced_coupling,env000092,2,69,0,False,False,False,0.13373473286628723,0.8741191029548645,0.9982784390449524,True,True,1.822754979133606,6.377687454223633,-0.6694998145103455,-0.9080467820167542,17,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,0.9080467820167542
D_induced_coupling,env000092,2,69,1,False,False,False,0.2186063528060913,0.9048861265182495,0.7358812689781189,False,True,2.784910202026367,5.84763240814209,-1.0392348766326904,-0.950959324836731,9,8 9 10 11 12 13 14 15 16,0.950959324836731
D_induced_coupling,env000092,2,69,2,False,False,False,0.26525065302848816,0.924804151058197,1.0421289205551147,False,True,2.1409413814544678,6.0784406661987305,-1.0618157386779785,-0.9534632563591003,12,5 6 7 8 9 10 11 12 13 14 15 16,0.9534632563591003
D_induced_coupling,env000092,2,69,3,False,False,False,0.1468094438314438,0.9332800507545471,0.9966166019439697,True,True,2.12266206741333,6.352194786071777,-1.0486724376678467,-0.9347310066223145,15,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19,0.9347310066223145
